FAD,model,reference_dataset,training_dataset,latent_dimension_x,latent_dimension_y
0.7494,clap-laion-audio,fma_pop,ssd,16_16
0.7687,clap-laion-audio,fma_pop,ssd,32_32
0.7658,clap-laion-audio,fma_pop,ssd,4_4
0.7672,clap-laion-audio,fma_pop,ssd,64_64
0.7455,clap-laion-audio,fma_pop,ssd,8_8
0.7133,clap-laion-audio,musiccaps,ssd,16_16
0.73,clap-laion-audio,musiccaps,ssd,32_32
0.7273,clap-laion-audio,musiccaps,ssd,4_4
0.7295,clap-laion-audio,musiccaps,ssd,64_64
0.7069,clap-laion-audio,musiccaps,ssd,8_8
0.5827,clap-laion-audio,ssd,ssd,16_16
0.5976,clap-laion-audio,ssd,ssd,32_32
0.6025,clap-laion-audio,ssd,ssd,4_4
0.6016,clap-laion-audio,ssd,ssd,64_64
0.584,clap-laion-audio,ssd,ssd,8_8
0.8332,clap-laion-music,fma_pop,ssd,16_16
0.8444,clap-laion-music,fma_pop,ssd,32_32
0.84383,clap-laion-music,fma_pop,ssd,4_4
0.8434,clap-laion-music,fma_pop,ssd,64_64
0.8304,clap-laion-music,fma_pop,ssd,8_8
0.807,clap-laion-music,musiccaps,ssd,16_16
0.8161,clap-laion-music,musiccaps,ssd,32_32
0.8148,clap-laion-music,musiccaps,ssd,4_4
0.8214,clap-laion-music,musiccaps,ssd,64_64
0.8049,clap-laion-music,musiccaps,ssd,8_8
0.5853,clap-laion-music,ssd,ssd,16_16
0.5979,clap-laion-music,ssd,ssd,32_32
0.6031,clap-laion-music,ssd,ssd,4_4
0.5985,clap-laion-music,ssd,ssd,64_64
0.5865,clap-laion-music,ssd,ssd,8_8
12.48,vggish,fma_pop,ssd,16_16
13.22,vggish,fma_pop,ssd,32_32
12.88,vggish,fma_pop,ssd,4_4
12.89,vggish,fma_pop,ssd,64_64
12.54,vggish,fma_pop,ssd,8_8
16.31,vggish,musiccaps,ssd,16_16
16.88,vggish,musiccaps,ssd,32_32
16.69,vggish,musiccaps,ssd,4_4
16.69,vggish,musiccaps,ssd,64_64
16.25,vggish,musiccaps,ssd,8_8
6.316,vggish,ssd,ssd,16_16
6.877,vggish,ssd,ssd,32_32
6.826,vggish,ssd,ssd,4_4
6.85,vggish,ssd,ssd,64_64
6.517,vggish,ssd,ssd,8_8
